mls,home_type,status,address,city,zip,county,list_price,area,subdivision,market_area,school_dist_no,school_district,elementary,middle,high_school,bldg_sf,psf,year,bedrooms,full_baths,total_baths,fireplaces,stories,garages,style,dom
58092789,Townhouse/Condo,Active,3300 Yorktown Street  #30,Houston,77056,Harris,169000,22,Yorktown T/H,Galleria,27,Houston,SCHOOL AT ST GEORGE PLACE,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,1240,136.29,1964,2,2,2,0,2,1,Traditional,84
28099721,Single-Family,Active,11 Liberty Bell Circle,Houston,77024,Harris,1995000,23,Bunker Hill Village,Memorial Villages,49,Spring Branch,MEMORIAL DRIVE ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),3590,555.71,1964,4,3,3.2,2,2,2,Spanish,209
46102104,Single-Family,Active,8816 Carousel Lane,Houston,77080,Harris,639178,24,Spring Branch Estates Sec 02,Spring Branch,49,Spring Branch,CEDAR BROOK ELEMENTARY SCHOOL,SPRING WOODS MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,1881,339.81,1964,3,1,1.1,1,1,3,Ranch,28
79631208,Single-Family,Active,11915 Steppingstone Lane,Houston,77024,Harris,1150000,23,Steppingstone,Memorial Villages,49,Spring Branch,FROSTWOOD ELEMENTARY SCHOOL,MEMORIAL MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),2513,457.62,1964,4,2,2.1,1,1,0,Ranch,40
474952,Single-Family,Active,42 E Broad Oaks Drive,Houston,77056,Harris,1390000,22,Broad Oaks,Tanglewood Area,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,4478,310.41,1964,4,5,5,1,2,0,Traditional,222
26696532,Single-Family,Active,5218 Braesheather Drive,Houston,77096,Harris,349000,20,Meyerland Sec 08 R/P I,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,3092,112.87,1964,4,3,3,0,1,2,"Contemporary/Modern, Ranch",95
10310956,Single-Family,Active,9203 Theysen Drive,Houston,77080,Harris,425000,24,Holley Terrace Sec 01,Spring Branch,49,Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,NORTHBROOK MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,2221,191.36,1964,4,2,2.1,1,1,2,Contemporary/Modern,20
28437332,Single-Family,Active,9702 S Rice Avenue,Houston,77096,Harris,439900,20,Meyerland Sec 08 R/P G,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,2746,160.2,1964,4,2,2.1,0,1,2,Traditional,124
92545397,Single-Family,Active,13703 Chrisman Road,Houston,77039,Harris,195000,34,Aldine Gardens Sec 01,Aldine Area,1,Aldine,REED ELEMENTARY SCHOOL,GRANTHAM ACADEMY,MACARTHUR HIGH SCHOOL (ALDINE),1496,130.35,1964,3,1,1.1,0,1,2,Traditional,26
76115105,Single-Family,Active,9710 Kit Street,Houston,77096,Harris,505000,20,Marilyn Estates Sec 05,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2596,194.53,1964,4,3,3,1,2,2,Traditional,0
30103304,Single-Family,Active,5815 Willowbend Boulevard,Houston,77096,Harris,449900,20,Parkwest Sec 02,Brays Oaks,27,Houston,PARKER ELEMENTARY SCHOOL (HOUSTON),MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2122,212.02,1964,3,2,2,1,1,2,Traditional,11
60894950,Single-Family,Active,9718 Burdine Street,Houston,77096,Harris,399900,20,Marilyn Estates Sec 10,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2519,158.75,1964,4,2,2.1,1,1,2,Traditional,247
29819405,Single-Family,Active,5710 cheltenham Street,Houston,77096,Harris,334000,20,MAPLEWOOD NORTH SEC 2,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,1842,181.32,1964,3,2,2.1,0,1,1,Contemporary/Modern,240
50349924,Single-Family,Active,5702 Reamer ,Houston,77096,Harris,325000,20,MAPLEWOOD NORTH SEC 1,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,1776,183,1964,3,2,2,0,1,2,Ranch,236
36445515,Single-Family,Active,5622 Indigo Street,Houston,77096,Harris,399500,20,MEYERLAND 10,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,2181,183.17,1964,4,2,2,1,1,2,Traditional,66
2520416,Single-Family,Active,3606 Ann Arbor Drive,Houston,77063,Harris,475000,22,Briarmeadow Sec 01,Briarmeadow/Tanglewilde,27,Houston,PINEY POINT ELEMENTARY SCHOOL,REVERE MIDDLE SCHOOL,WISDOM HIGH SCHOOL,1833,259.14,1964,3,2,2,1,1,2,Traditional,18
24181479,Single-Family,Active,5506 Yarwell Drive,Houston,77096,Harris,435000,20,Marilyn Estates Sec 07,Meyerland Area,27,Houston,PARKER ELEMENTARY SCHOOL (HOUSTON),MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2112,205.97,1964,3,2,2,1,1,2,Ranch,18
42593232,Single-Family,Active,13926 Barryknoll Lane,Houston,77079,Harris,759900,23,Nottingham Sec 02 Rep,Memorial West,49,Spring Branch,WILCHESTER ELEMENTARY SCHOOL,MEMORIAL MIDDLE SCHOOL (SPRING BRANCH),STRATFORD HIGH SCHOOL (SPRING BRANCH),2521,301.43,1964,4,2,2,1,2,2,Traditional,38
86760717,Single-Family,Active,5910 W 43rd Street,Houston,77092,Harris,345000,9,Oak Forest Sec 17,Oak Forest West Area,27,Houston,WAINWRIGHT ELEMENTARY SCHOOL,CLIFTON MIDDLE SCHOOL (HOUSTON),SCARBOROUGH HIGH SCHOOL,1840,187.5,1964,3,2,2,0,1,2,Traditional,31
55905475,Single-Family,Active,5723 Kuldell Drive,Houston,77096,Harris,349000,20,Maplewood North Sec 02,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,1827,191.02,1964,3,2,2,1,1,1,"Contemporary/Modern, Ranch, Traditional",209
22026485,Single-Family,Active,6010 Arboles Drive,Houston,77035,Harris,299000,20,Parkwest,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2605,114.78,1964,4,3,3,1,1,2,Traditional,44
15493537,Single-Family,Active,6011 McKnight Street ,Houston,77035,Harris,275000,20,Parkwest,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2045,134.47,1964,3,2,2,0,1,2,Traditional,169
16903229,Single-Family,Active,5718 Cheltenham Drive,Houston,77096,Harris,359000,20,Maplewood North Sec 02,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,1689,212.55,1964,3,2,2,1,1,1,Ranch,8
38347612,Single-Family,Active,5743 Cheltenham Drive,Houston,77096,Harris,479000,20,Maplewood North Sec 02,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,3016,158.82,1964,4,3,3,0,1,2,Traditional,50
32234606,Single-Family,Active,4722 Trail Lake Drive,Houston,77045,Harris,185000,18,Keswick Place R/P,Five Corners,27,Houston,GRISSOM ELEMENTARY SCHOOL,LAWSON MIDDLE SCHOOL,MADISON HIGH SCHOOL (HOUSTON),2058,89.89,1964,3,2,2,0,1,0,Ranch,4
63603003,Single-Family,Active,9110 Pontiac Drive,Houston,77096,Harris,259900,20,Maplewood North Sec 01,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,1698,153.06,1964,3,2,2,0,1,2,Contemporary/Modern,21
13355065,Single-Family,Active,10807 Garrick Lane,Houston,77013,Harris,185900,2,Songwood,Northeast Houston,27,Houston,WHITTIER ELEMENTARY SCHOOL (HOUSTON),HOLLAND MIDDLE SCHOOL (HOUSTON),FURR HIGH SCHOOL,1984,93.7,1964,4,2,2.1,0,2,2,Traditional,18
44583843,Single-Family,Active,9219 Theysen Drive,Houston,77080,Harris,325000,24,Holley Terrace 1,Spring Branch,49,Spring Branch,BUFFALO CREEK ELEMENTARY SCHOOL,NORTHBROOK MIDDLE SCHOOL,NORTHBROOK HIGH SCHOOL,1967,165.23,1964,3,2,2,0,2,2,Traditional,22
50592635,Single-Family,Active,3611 Weaver Road,Houston,77093,Harris,205000,2,Camden Woods,Northside,27,Houston,PAIGE ELEMENTARY SCHOOL,KEY MIDDLE SCHOOL,KASHMERE HIGH SCHOOL,1512,135.58,1964,3,1,1,0,1,2,Traditional,186
72865498,Single-Family,Active,5830 Farwell Drive,Houston,77035,Harris,249000,20,Westbury South,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,1786,139.42,1964,4,2,2,0,1,2,Ranch,34
56177117,Mid/Hi-Rise Condo,Active,3614 Montrose Boulevard #600,Houston,77006,Harris,225000,16,Parc 04 & Parc V Condo,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),1078,208.72,1964,2,2,2,0,1,0,Other Style,134
64088942,Mid/Hi-Rise Condo,Active,3614 Montrose Boulevard #301,Houston,77006,Harris,222000,16,Parc 04 & Parc V Condo,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),1078,205.94,1964,2,2,2,0,1,0,Other Style,41
42372535,Mid/Hi-Rise Condo,Active,3614 Montrose Boulevard #405,Houston,77006,Harris,225000,16,Parc Iv&V Condo,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),733,306.96,1964,1,1,1,0,1,0,Other Style,20
59881878,Townhouse/Condo,Active,2600 Bellefontaine Street #D18,Houston,77025,Harris,125000,17,Barclay Condo Ph 02,Braeswood Place,27,Houston,TWAIN ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),1176,106.29,1964,2,2,2,0,1,0,Contemporary/Modern,155
70510682,Townhouse/Condo,Active,2417 Briar Ridge ,Houston,77057,Harris,190000,22,Briargrove T/H Condo,Briargrove,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,1140,166.67,1964,2,1,1.1,0,2,1,Traditional,139
23337993,Townhouse/Condo,Active,8221 Kingsbrook Road #211,Houston,77024,Harris,127500,23,Bayou Bend T/H Condo,Memorial Close In,49,Spring Branch,HUNTERS CREEK ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),800,159.38,1964,1,1,1,0,1,0,Traditional,1
55835567,Townhouse/Condo,Active,5237 Arboles Drive #M,Houston,77035,Harris,124900,20,Westbury Gardens Condo,Brays Oaks,27,Houston,PARKER ELEMENTARY SCHOOL (HOUSTON),MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,1230,101.54,1965,2,1,1.1,0,2,0,Spanish,16
97239577,Townhouse/Condo,Active,11643 Chimney Rock Road #B,Houston,77035,Harris,85000,20,Westbuy Gardens,Brays Oaks,27,Houston,PARKER ELEMENTARY SCHOOL (HOUSTON),MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,952,89.29,1965,2,1,1,0,1,1,Traditional,259
66863873,Townhouse/Condo,Active,2509 Marilee Lane #3,Houston,77057,Harris,125000,22,Marble Arch Condo,Winrock,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,1012,123.52,1965,2,2,2,0,1,0,Traditional,102
50321184,Townhouse/Condo,Active,2625 Marilee Lane #2,Houston,77057,Harris,165000,22,Marble Arch Condo,Winrock,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,916,180.13,1965,2,2,2,0,1,0,"Contemporary/Modern, Traditional",24
54711767,Townhouse/Condo,Active,2625 Marilee Lane #1,Houston,77057,Harris,139000,22,Marble Arch Condo,Winrock,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,916,151.75,1965,2,2,2,0,1,0,Traditional,203
63886918,Townhouse/Condo,Active,2503 Marilee Lane #3,Houston,77057,Harris,79000,22,Marble Arch Condo,Winrock,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,788,100.25,1965,1,1,1,0,1,0,French,51
13901311,Townhouse/Condo,Active,2661 Marilee Lane #2,Houston,77057,Harris,129500,22,Marble Arch Twnhm,Winrock,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,756,171.3,1965,1,1,1,0,1,0,French,153
41811701,Townhouse/Condo,Active,2627 Marilee Lane #2,Houston,77057,Harris,87000,22,Marble Arch Twnhm,Winrock,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,746,116.62,1965,1,1,1,0,1,0,Traditional,91
98972466,Townhouse/Condo,Active,7600 Burgoyne Road #132,Houston,77063,Harris,89990,22,Baxter House Condo,Charnwood/Briarbend,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,510,176.45,1965,1,1,1,0,1,0,Contemporary/Modern,104
52930930,Townhouse/Condo,Active,3131 SW Freeway  #E44,Houston,77098,Harris,165500,17,Lemans T/H Condo,West University/Southside Area,27,Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),986,167.85,1965,2,1,1,0,1,0,Traditional,165
20370914,Townhouse/Condo,Active,3131 Southwest Freeway #A2,Houston,77098,Harris,149900,17,Lemans T/H Condo,West University/Southside Area,27,Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),980,152.96,1965,2,1,1,0,1,0,Traditional,168
21601578,Townhouse/Condo,Active,3131 Southwest freeway  #35,Houston,77098,Harris,119900,17,Lemans T/H Condo,West University/Southside Area,27,Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),726,165.15,1965,1,1,1,0,1,0,Traditional,88
56268536,Townhouse/Condo,Active,3131 Southwest Freeway C38 ,Houston,77098,Harris,117500,17,Lemans T/H Condo,West University/Southside Area,27,Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),726,161.85,1965,1,1,1,0,1,0,Traditional,88
71135120,Townhouse/Condo,Active,5353 Richmond Avenue #2,Houston,77056,Harris,149500,22,Courtyards Condo,Galleria,27,Houston,SCHOOL AT ST GEORGE PLACE,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,1490,100.34,1965,2,1,1.1,0,2,0,Traditional,13
3583855,Townhouse/Condo,Active,5343 Richmond Avenue #25,Houston,77056,Harris,94900,22,Courtyards Condo,Galleria,27,Houston,SCHOOL AT ST GEORGE PLACE,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,676,140.38,1965,1,1,1,1,1,0,Colonial,1
17002146,Townhouse/Condo,Active,5353 Richmond Avenue #15,Houston,77056,Harris,115000,22,Courtyards Condo,Galleria,27,Houston,SCHOOL AT ST GEORGE PLACE,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,671,171.39,1965,1,1,1,0,1,0,Traditional,117
25151321,Single-Family,Active,9505 Radio Road,Houston,77075,Harris,399900,3,South Houston Gardens Sec 08,Hobby Area,41,Pasadena,JESSUP ELEMENTARY SCHOOL,SOUTHHOUSTON INTERMEDIATE SCHOOL,SOUTH HOUSTON HIGH SCHOOL,1740,229.83,1965,3,2,2,0,1,2,Contemporary/Modern,161
74305378,Single-Family,Active,238 Julia Street,Houston,77022,Harris,295000,9,East Montgomery Acres,Northwest Houston,27,Houston,JANOWSKI ELEMENTARY SCHOOL,BURBANK MIDDLE SCHOOL,SAM HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,2440,120.9,1965,4,2,2.1,0,1.5,2,Ranch,68
24973759,Single-Family,Active,224 Heaney Drive,Houston,77076,Harris,875000,9,Clarks,Northwest Houston,27,Houston,LYONS ELEMENTARY SCHOOL,BURBANK MIDDLE SCHOOL,SAM HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER,2318,377.48,1965,4,2,2,0,1,2,Traditional,162
92220264,Single-Family,Active,5527 Chantilly Lane,Houston,77092,Harris,200000,9,Oak Forest,Oak Forest West Area,27,Houston,WAINWRIGHT ELEMENTARY SCHOOL,CLIFTON MIDDLE SCHOOL (HOUSTON),SCARBOROUGH HIGH SCHOOL,2054,97.37,1965,3,2,2,0,1,0,Ranch,70
80778823,Single-Family,Active,5323 S Braeswood Blvd ,Houston,77096,Harris,765000,20,Meyerland Sec08 R/P I,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,4149,184.38,1965,4,3,3.1,0,1,0,Ranch,47
50389189,Single-Family,Active,25 S Cheska Lane,Piney Point Village,77024,Harris,1225000,23,Cheska Hollow,Memorial Villages,49,Spring Branch,MEMORIAL DRIVE ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),2795,438.28,1965,4,2,2.1,1,1.5,2,Traditional,0
9917655,Single-Family,Active,9414 Meadowvine Drive,Houston,77044,Harris,185000,2,Meadowlake Mobile Hms Village,North Channel,46,Sheldon,SHELDON LAKEE ELEMENTARY SCHOOL,MICHAEL R. NULL MIDDLE SCHOOL,CE KING HIGH SCHOOL,1626,113.78,1965,0,0,0,0,1,0,Traditional,159
87594998,Single-Family,Active,5303 S Braeswood Boulevard,Houston,77096,Harris,735000,20,Meyerland Sec 08 R/P I,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,4888,150.37,1965,4,5,5,1,1,0,Contemporary/Modern,211
47241971,Single-Family,Active,5535 S Braeswood Boulevard,Houston,77096,Harris,487850,20,Marilyn Estates Sec 10,Meyerland Area,27,Houston,KOLTER ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2650,184.09,1965,3,2,2.1,0,1,2,Traditional,94
52121536,Single-Family,Active,6115 Riverview Way,Houston,77057,Harris,1175000,22,Tanglewood,Tanglewood Area,27,Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,3621,324.5,1965,3,3,3.1,1,1.5,2,Traditional,160
49550042,Single-Family,Active,623 Wycliffe Drive,Houston,77079,Harris,675000,23,Memorial Way,Memorial West,49,Spring Branch,RUMMEL CREEK ELEMENTARY SCHOOL,MEMORIAL MIDDLE SCHOOL (SPRING BRANCH),STRATFORD HIGH SCHOOL (SPRING BRANCH),2559,263.77,1965,4,2,2.1,1,1,2,"French, Traditional",12
89564820,Single-Family,Active,506 Clear Spring Drive,Houston,77079,Harris,899000,23,Nottingham Forest,Memorial West,49,Spring Branch,MEADOW WOOD ELEMENTARY SCHOOL,SPRING FOREST MIDDLE SCHOOL,STRATFORD HIGH SCHOOL (SPRING BRANCH),4007,224.36,1965,5,3,3.1,1,2,0,Traditional,78
10544622,Single-Family,Active,5234 Caversham Drive,Houston,77096,Harris,399000,20,Meyerland 6b,Meyerland Area,27,Houston,LOVETT ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,3262,122.32,1965,4,3,3,1,1,0,Ranch,5
6515055,Single-Family,Active,5831 W Bellfort Street,Houston,77035,Harris,389000,20,Parkwest Sec 02,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,3919,99.26,1965,3,3,3,0,1,0,Traditional,19
57911666,Single-Family,Active,5234 Loch Lomond Drive,Houston,77096,Harris,569000,20,Meyerland,Meyerland Area,27,Houston,LOVETT ELEMENTARY SCHOOL,MEYERLAND MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,2343,242.85,1965,4,2,2.1,1,1,2,Contemporary/Modern,6
55616004,Single-Family,Active,10011 Larston Street,Houston,77055,Harris,450000,24,Spring Br Woods Sec 03 Residen,Spring Branch,49,Spring Branch,SHADOW OAKS ELEMENTARY SCHOOL,SPRING OAKS MIDDLE SCHOOL,SPRING WOODS HIGH SCHOOL,1918,234.62,1965,3,2,2,1,1,2,"Ranch, Traditional",35
33610633,Single-Family,Active,5018 Shady Nook Court,Houston,77018,Harris,569000,9,Candlelight Estates,Oak Forest East Area,27,Houston,OAK FOREST ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,2570,221.4,1965,3,2,2,1,1,2,Traditional,6
57802604,Single-Family,Active,5930 Belrose Drive,Houston,77035,Harris,289000,20,Parkwest,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2160,133.8,1965,4,2,2,1,1,2,Ranch,104
66981355,Single-Family,Active,5815 W Bellfort Street,Houston,77035,Harris,349500,20,Parkwest Sec 02,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2424,144.18,1965,4,2,2.1,1,1,1,Traditional,40
11003368,Single-Family,Active,1503 W T C Jester Boulevard,Houston,77008,Harris,689000,9,Timbergrove Manor Sec 07,Timbergrove/Lazybrook,27,Houston,SINCLAIR ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,2102,327.78,1965,4,2,2,0,1,2,Ranch,5
42090893,Single-Family,Active,8515 Mullins Drive,Houston,77096,Harris,329900,20,Maplewood Sec 15,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,1719,191.91,1965,3,2,2,0,1,2,Traditional,8
64700409,Single-Family,Active,12923 Slater Lane,Houston,77039,Harris,195000,34,Slater Park,Aldine Area,1,Aldine,RAYMOND ACADEMY,GRANTHAM ACADEMY,MACARTHUR HIGH SCHOOL (ALDINE),1152,169.27,1965,3,1,1.1,1,1,0,Traditional,44
78970554,Single-Family,Active,5527 Flamingo Drive,Houston,77033,Harris,185000,3,Inwood Terrace Sec 06,Medical Center South,27,Houston,MADING ELEMENTARY SCHOOL,THOMAS MIDDLE SCHOOL,WORTHING HIGH SCHOOL,1600,115.62,1965,4,2,2,0,1,0,Traditional,34
37935733,Single-Family,Active,5934 W Bellfort Street,Houston,77035,Harris,209000,20,Westbury Sec 05,Brays Oaks,27,Houston,PARKER ELEMENTARY SCHOOL (HOUSTON),MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,1604,130.3,1965,3,2,2,0,1,2,Traditional,12
10443230,Single-Family,Active,2201 Viking Lane,Baytown,77520,Harris,225000,2,Eva Maude Sec 05,Baytown/Harris County,23,Goose Creek,JAMES BOWIE ELEMENTARY SCHOOL (GOOSE CREEK),CEDAR BAYOU J H,STERLING HIGH SCHOOL (GOOSE CREEK),2341,96.11,1965,3,2,2,0,1,2,Traditional,11
49455793,Single-Family,Active,14002 Myrtlea Drive,Houston,77079,Harris,699000,23,Nottingham West Sec 03 R/P,Memorial West,49,Spring Branch,WILCHESTER ELEMENTARY SCHOOL,SPRING FOREST MIDDLE SCHOOL,STRATFORD HIGH SCHOOL (SPRING BRANCH),2627,266.08,1965,4,3,3,1,1,2,"Ranch, Traditional",33
76995002,Single-Family,Active,5923 W Bellfort Street,Houston,77035,Harris,232439,20,Westbury Sec 05,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2171,107.07,1965,4,2,2,1,2,1,Traditional,187
80634706,Single-Family,Active,6243 Bayou Bridge Drive,Houston,77096,Harris,334000,20,Maplewood South,Brays Oaks,27,Houston,ELROD ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2481,134.62,1965,4,2,2.1,1,1,3,Traditional,145
33474857,Single-Family,Active,9707 Trumpet Street,Houston,77078,Harris,125000,2,Wood Glen,Northeast Houston,27,Houston,HILLIARD ELEMENTARY SCHOOL,FOREST BROOK MIDDLE SCHOOL,NORTH FOREST HIGH SCHOOL,1200,104.17,1965,4,2,2,0,1,0,Traditional,10
9646089,Single-Family,Active,12466 Mooremeadow Lane,Houston,77024,Harris,549000,23,Memorial Meadows,Memorial West,49,Spring Branch,BUNKER HILL ELEMENTARY SCHOOL,MEMORIAL MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),2112,259.94,1965,4,2,2,1,1,2,Spanish,69
50503363,Single-Family,Active,9310 Oak Knoll Lane,Houston,77078,Harris,139900,2,Chatwood Place Sec 06,Northeast Houston,27,Houston,ELMORE ELEMENTARY SCHOOL,KEY MIDDLE SCHOOL,KASHMERE HIGH SCHOOL,901,155.27,1965,3,1,1,0,1,1,Traditional,9
8920646,Single-Family,Active,5507 Dawnridge Drive,Houston,77035,Harris,270000,20,Westbury Sec 04,Brays Oaks,27,Houston,ANDERSON ELEMENTARY SCHOOL (HOUSTON),MEYERLAND MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2458,109.85,1965,3,2,2.1,0,1,0,Ranch,139
8004511,Single-Family,Active,5734 Kuldell Drive,Houston,77096,Harris,414900,20,Maplewood North Sec 02,Meyerland Area,27,Houston,HEROD ELEMENTARY SCHOOL,FONDREN MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,2093,198.23,1965,4,2,2,0,1,2,"Ranch, Traditional",50
42307891,Single-Family,Active,9414 Bob White Drive,Houston,77096,Harris,399000,20,Maplewood South,Brays Oaks,27,Houston,ELROD ELEMENTARY SCHOOL (HOUSTON),FONDREN MIDDLE SCHOOL,WESTBURY HIGH SCHOOL,2860,139.51,1965,4,2,2.1,1,2,1,Traditional,39
